# source: https://assets.lulu.com/media/specs/lulu-print-api-spec-sheet.xlsx
# fetched: 2026-09-03
# products: 3277
legacy_sku,sku,book_type,min_page,max_page,trim_width_in,trim_height_in,trim_width_mm,trim_height_mm,bleed_width_in,bleed_height_in,bleed_width_mm,bleed_height_mm,interior_color,print_quality,bind,interior_number,paper_type,interior_ppi,lamination,linen_color,foil_color
0425X0687BWSTDSS060UC444MXX,0425X0687.BW.STD.SS.060UC444.MXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Saddle Stitch,60.0,60# Uncoated Cream,444.0,Matte,X,X
0425X0687BWSTDSS060UW444GXX,0425X0687.BW.STD.SS.060UW444.GXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Saddle Stitch,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687BWSTDSS060UW444MXX,0425X0687.BW.STD.SS.060UW444.MXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Saddle Stitch,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687BWSTDSS080CW444GXX,0425X0687.BW.STD.SS.080CW444.GXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Saddle Stitch,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687BWSTDSS080CW444MXX,0425X0687.BW.STD.SS.080CW444.MXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Saddle Stitch,80.0,80# Coated White,444.0,Matte,X,X
0425X0687FCPRECO060UW444GXX,0425X0687.FC.PRE.CO.060UW444.GXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Coil,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687FCPRECO060UW444MXX,0425X0687.FC.PRE.CO.060UW444.MXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Coil,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687FCPRECO080CW444GXX,0425X0687.FC.PRE.CO.080CW444.GXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Coil,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687FCPRECO080CW444MXX,0425X0687.FC.PRE.CO.080CW444.MXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Coil,80.0,80# Coated White,444.0,Matte,X,X
0425X0687FCPRECW060UW444GXX,0425X0687.FC.PRE.CW.060UW444.GXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Case Wrap,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687FCPRECW060UW444MXX,0425X0687.FC.PRE.CW.060UW444.MXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Case Wrap,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687FCPRECW080CW444GXX,0425X0687.FC.PRE.CW.080CW444.GXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Case Wrap,80.0,80# Coated White,444.0,Gloss,X,X
